 I.A.F. plot information for graphics
     755240.2115339482
     900371.4133325593
     601308.2723427055
    1414433.9736889550
     574761.7691696012
     813363.6061882834
     521016.1474576271
     681475.8481591417
    1033176.4507427770
     645578.3681003877
     743978.7751943178
     765764.9320796432
     776255.1354553413
     791084.6002583761
     775304.3978756025
     673708.6691831234
     674286.7253306572
     623182.6358316436
     515492.4310929759
     886473.7719413270
     471827.9184175559
     774378.2761085288
     742309.2039491657
     654350.5056500346
     699901.5680906152
     633196.0747502311
     633614.4143460500
     676210.6523251385
     884287.3286894746
     798332.7082155880
     914817.8222755316
     595210.7801799798
     929053.0518181115
    1024492.3629949700
     494994.8420836197
     867730.8502419723
     931446.6984145907
     753008.2119244686
    1012350.4494123150
     570752.9638114516
     792412.6125953718
     520677.0565984089
     735219.2675596160
     620939.6355016433
     503476.6810113092
     502464.1973620921
     742926.0997627497
     720575.2349210918
    1617418.8171029750
     828423.6805012052
     515103.7155169726
     497829.7378672793
     948686.2170465472
     607028.0660384932
     984671.5715100534
     615664.7908240617
     544631.4014385116
     547599.9536061401
     705219.6346613390
     903199.5507274201
     919986.4363930463
     666654.5993313919
     612414.5993306971
     529765.3208887012
    1395305.6361038410
     714133.4779052218
     503534.1084404563
     769647.1108172960
     659890.9219797594
     531185.7595740056
     696018.5437003414
     649674.0819629285
     589107.7017166187
     659291.9274147411
     928608.2006116168
     982033.6792825511
     682126.1341387453
     807456.1234004535
     546492.4408542885
     607054.9114669799
     544939.2112030733
    1034172.1258995230
     730030.6977161426
    1022216.3647955240
     553205.9035384177
     696660.6013045982
    1113913.0096378700
     827688.6303128082
     561556.2116735766
     516684.5186747591
    1052245.4900039920
     634517.3933074975
     682546.1379878681
     909654.0442020990
     601983.4072149677
     602893.9631726897
     784018.8910940201
     624989.8335307450
     967489.2642232627
     941138.0716906755
     558092.9727068699
     678432.7402562640
     769658.6389054016
     843690.2664403071
     583360.5752998684
    1012828.0522049380
    1341121.1278071240
     618581.8618962359
     477812.5901479294
     933405.7501286314
     627146.8028700793
     761606.3628623301
     600423.7808673473
     562497.1156844946
    1036806.9485806550
     968654.1858267052
     615677.6029556119
     583258.6561385345
     908277.6899742667
     925504.3254178352
    1154923.1603627080
     677260.8101036946
     697903.7845671712
     689259.0287555797
     786231.7643968761
     692083.6987803815
     849058.7650297037
     844851.0357090569
     538418.3677437330
     917135.9102936477
     663912.6220954084
     984032.7186033181
     833797.9741577932
     907161.1502863989
     849783.9960280814
     719843.9871040727
     616368.2574706515
     536509.5384344423
     718603.8051932683
     915852.5036173977
     730006.0100436435
     702631.4860451111
     673339.0883616750
     601785.8995950107
     768929.2942100572
     611444.4688206444
     694883.0432064468
     668096.5884956565
     555355.5880009885
     577812.3839596680
     893254.2345922659
     808464.3684208798
     852135.8598876428
    1334145.1293270820
     685700.8792822115
     618775.8336178851
     909770.4195139069
     856357.1218359179
     917055.0632179038
     819213.1983643972
     771140.6891736870
     513313.4840138510
     709124.9918082780
     592944.3445979781
     647617.6360789676
     824744.6956447274
     813226.8184551545
     558099.7706017218
     724536.1063493898
     870524.4133398761
     607739.8743986776
     605078.2306727688
     600601.2007933190
     998681.4217744892
     531335.1285527622
     575749.5110899508
     789906.0281550083
    1229259.3758437160
     727433.6073770766
     842288.5368580855
     557391.6594885890
     640050.3730835095
    1516841.2776516470
     803782.0285457965
     878653.9380355557
     947965.4434129032
    1674403.6131428120
     866034.2933967093
     682314.9715999205
     535872.9004406065
     777350.2832393483
    1140899.1158545410
    1435821.0219725300
     759942.3309039602
     835680.4326619593
     485663.7320714294
     728017.0021619655
    1159782.4461826550
     727756.5313360581
     733002.0274186456
     800446.8133061241
     746323.8595649912
     698794.0590029934
     794306.3074915351
     773652.8908848547
     728890.4440938109
     669499.1872357441
     911565.0532363378
     987492.6691933282
     658318.9375165014
     696028.1155456035
     610540.1328361657
     651982.3373650527
     656834.3891486297
     717020.6903679520
     738580.1575203101
     900018.0874616867
     807039.8565467182
     638330.1841371619
     947689.6283156518
     972132.7619779371
     573944.1425261683
     506003.7279909213
     830871.6251816292
     901930.5295904450
     705888.9405224365
     678627.8276527338
     596747.6967469581
     584670.2101190803
    1134735.7170955390
     604268.6758176610
     964020.8401830097
     855374.7840980166
     812007.2241180569
     727348.4547099001
     754098.1040038127
     611987.9881254793
     578812.4633811906
     531482.1379452824
     634440.3106989956
     761357.4398329326
     692835.0331696994
     601984.2844222457
     958112.6448271624
     528192.5268033710
     718646.9733094387
     629981.6272510910
     671230.0614687587
     556286.7346836434
     747476.5104804138
     725946.5381630039
     684730.0171895083
     586196.5753294476
     656727.0786997327
     710539.9122976192
     558807.7252353708
     526131.8577457342
     711682.8743615092
     524935.4160652524
     920453.7127437721
     795454.8538085223
     764966.8567641071
    1321643.2702849870
     572114.0825822651
     626219.4928059203
     660700.3967781108
     583832.6775290520
     593007.5803731404
     832680.1076214419
     790964.8839621245
     706431.4588253258
     534503.2093551044
     687250.5517706011
     847332.9483561061
     938600.0761681986
    1845456.5747118140
     814742.0777258874
     837822.6491142426
    1028316.5161966960
     607961.1476359811
     811176.8867085985
     861057.5687477987
     765490.3282200813
     852218.9657887312
     651023.3119085574
     673017.3645015509
     842105.6678120761
     599145.3950569484
     798041.3420240533
     560431.7282900470
     874684.4193386769
     732165.7853284113
     670681.4374367107
     580680.9066765867
     872651.1177050660
     693137.6115587854
     877154.7036514141
     539498.6344666717
     546274.1984884214
     739559.7432419383
     434173.6870344440
     595061.0633498440
     764276.1426612075
    1039776.4363063900
     628334.3816317210
     647385.5210189932
     695334.7484013998
     727992.8425680224
     670844.4713266961
     988283.9543946220
     856964.4172404456
     828797.5160509857
     587351.1922175385
     510852.1081820133
     565789.5412561309
     729076.4597652090
     691487.3569089887
     752027.9260243677
     813924.0955658000
     536464.3646634251
     818696.4972053618
    1024500.1065213450
     675669.9823076385
     712302.0444296184
     744052.4768476400
     738741.1481143109
     619351.4545568473
     638103.1787232852
     643208.0242970900
     862905.6948492131
    1091570.9018671640
     732020.2924468691
     601936.4232624236
     740261.9537060331
    1108379.1142303470
    1186662.3375192780
     763923.9016157428
     576482.9461946010
     720072.8524027665
     906506.4319682632
     612070.4874414107
     909620.3151673592
    1085918.1323955820
     994254.4744432966
     670821.4450781863
    1101307.5921823360
     825364.7843710290
     775253.5901092606
     777692.8377099476
     704438.1700598103
     690225.9415697462
     664320.8769613763
     711668.5513552890
     890217.9765683444
     627800.8003174624
    1062125.6323128410
     839529.1084908688
    1055418.1158356870
     744842.7709629751
     662419.8705951164
    1432012.5194256930
     890320.6261933034
     860042.5370468978
     555882.3088730578
     783740.1787098217
     616318.6058913720
     609728.9898236593
     815564.4395807905
     667190.0725477779
     591797.2304482524
     712571.5574167206
    1006367.3213895740
     541714.0068268417
     564171.5867761752
     631988.5852835416
     749022.7789482173
     478206.5070008012
     664406.3056641690
     489085.4191452062
     733233.5112136486
     961956.5286372604
    1064078.0760777250
     933554.6657882517
     749396.7245757795
     763877.7553299570
     655188.0492838948
     466543.6118536613
     846152.2650462615
     911867.4106532360
     735732.9559750952
     630048.8640186579
     790637.1828540654
     762832.0650276466
     738066.3606642555
     754729.1795342355
    1057848.2673411950
     639787.1552289764
     721469.9502328378
     542049.5839418956
     596411.1126772424
     555442.0937216156
    1040465.9728881410
     524392.6173193663
     690384.3185845786
     773506.3589138644
    1015597.8751411120
     987874.3877591611
     533210.0779579685
     706110.1913393103
    1025834.7711103870
     462457.9800203240
     738787.9564321489
    1050682.2413344590
     644547.5193732446
     685611.8115523005
     501986.3101924281
     764771.1376492400
     732324.3732852101
     656051.3412751295
     696718.1633818573
     574413.6043625712
     771610.3346882724
     999116.0964360067
     866816.4955815460
     595048.5718970182
     848422.4114809098
     653678.7054520223
     733900.1347531955
     821339.2426313919
     761717.4573885766
     745717.4692555562
     811432.8849772387
    1217695.7326211500
     705041.0583710236
     686346.7193563632
     664486.7288263378
     618900.4240739759
     698929.7299470502
     913572.7355976248
     785979.8946305058
     527353.2411211412
     897051.1854206873
     656558.9838074440
    1007278.2766290700
     642196.0142207620
     732347.1803124432
     616289.5845604949
     449469.5289844271
     539618.2712519093
    1190986.7609638510
     984645.2917819108
     671845.2610627841
     874447.3769137551
     827362.5090929027
     868880.9008535486
     584307.2880239623
    1221052.1993009220
     680620.6845691758
     763973.4089803803
     835997.9521752612
     684117.8317905613
     900274.4449076891
     601347.2544256052
     726435.2411778001
     661914.3753396893
     656747.8502752432
     956200.2083361237
     529115.2019552174
     768421.9747068614
     578492.9444624456
     588630.6672704448
    1050128.1549094360
    1163415.1163827950
     829962.4379291288
     890214.5484133399
    1099047.2400354480
     814087.2604214898
     879175.7923053773
     503194.9672278485
    1014943.9969695470
     650246.6799087403
     595858.1752591815
     720501.2590634492
     456865.2320519498
     887256.9124400734
     488674.5069496547
     902763.3451525674
     687880.8517800397
     886946.7361679018
     837269.9264970595
     733246.0819822068
     974055.5037121208
     787632.2524326486
     598208.9561215999
     716868.7017343659
     628967.3222220778
     984277.1045102461
     615109.9812649322
     598286.2857801467
    1209561.1439096300
     556889.8353876990
    1266121.9218018160
     673391.5661681908
     785296.7181123432
     622976.1044435541
     527842.0892801011
     630166.3419882983
     739067.2171622069
     531493.8630316072
     539858.5978164563
     605245.4577076751
     521283.6790501747
     593239.9349378392
     722530.8600521107
     531756.8048042915
     894358.1258240597
     468899.4620741863
     566911.6058523902
     445069.1241490671
    1033834.1384010020
     773702.3270565553
     883853.8126888737
     727265.4965682962
     613451.7155378684
     741873.5294721802
     550529.5222130594
     580120.7473481678
     668941.1181265536
     694250.5389195499
     645186.1829302050
     949342.7981303628
     421347.4529109406
     670539.4798963317
     615908.5403895986
     541773.2023775007
     544761.2013178233
     710884.3515358574
     593571.8293878975
    1043333.4341374810
     741189.9416219656
     761754.7384921064
     674233.7005435115
     700265.2989307963
    1284835.8594466960
     712811.6007259787
     738586.5769913257
     984465.8770924645
     860614.5033576399
     679122.7155144800
     661276.3879333688
     687901.2447355599
     567766.2842546545
     828282.1122077016
     676058.8249454032
     896911.0028948380
    1392965.8804480240
     712284.5518274463
     818565.4713846808
     992792.6591726324
     608600.6179688403
     837830.1973823839
     622759.3622518149
    1441044.7338503280
     624874.4148332160
     742573.0562716548
     615672.5139729453
     824652.6814638216
     709544.2278208266
    1218329.9600437110
     742587.7123161953
     670685.8050885027
     605786.1308821719
     929378.0684717650
     531718.6618674099
    1022504.8212014080
     972355.6495941063
     824228.5447666043
     755392.6730783262
     875517.0567283575
     922871.5901299631
     762663.7741611685
     797572.2090849358
     830789.0799345876
     585929.4962587365
     834373.8716422623
     787663.8051263775
     955330.7930032690
     597154.1882077610
     910806.2605548867
     636246.8978936928
     586142.9126409516
     592858.8995438606
     583984.5298756221
     679047.1554847449
     873974.3505470982
     789157.4000529571
     854105.7249216610
     574382.3817179396
     671237.5337377209
     655612.3493599165
     689162.6381614812
     845270.5746186250
     909707.2803162229
    1083998.4534016630
     755284.7067253348
     803943.4846522488
     931008.2330990447
     810003.7786486858
     978213.9181960196
     686566.9941240904
     744002.2993252886
     495597.9281875257
     919395.4006912886
     716685.7627930493
     604841.4247571821
     673776.9975043490
     834152.7936692021
     706463.6739228224
     766468.4481384736
     887567.1492711097
     961037.8699790463
    1243175.9844003280
     994441.6770767493
     595016.9522981019
     539528.8125881996
     613577.1928886434
     693592.5100657275
     547891.8700801176
     725161.8947429773
     726145.2956994918
     640113.3100084405
     962898.9457306458
     730255.8841974876
     877257.8787968047
     932311.8065247546
     827833.7496363674
     824178.3249688062
     541716.0184203596
     731904.7164922226
     820309.7721032657
     687117.9016487850
     663376.5171439719
     698526.7833619145
     906829.0632725158
    1139303.1679807030
     520626.9551453956
     594981.1968607665
     623526.8243677820
     605540.0066771277
     521492.9510925899
     615307.4418802330
     800760.3363530989
     691939.1618266958
     851375.0142033651
    1029449.9676643700
     903811.4819894091
     503789.3024027080
     707855.1609182349
     906618.4702600746
     756091.3322132729
     766215.1684609880
     714451.0150847008
     741797.8061726530
     925280.6527946080
     766926.4902761002
     645246.5107681501
     790887.3088524087
     854829.8526417594
     666984.0589975216
     660779.3487000688
     748225.8035077135
     977786.2774457472
     609967.6153212121
     734234.7324592769
     594158.1721485277
     636621.9843831494
     722163.2895398543
     538447.1377003305
     662776.6591113448
     725158.5109667521
     758716.4095805690
     608640.9560724994
     766529.9032804437
     744298.6541948636
     626276.0347401039
     730548.2737874552
     992841.8630909419
     545899.1919088170
    1027540.7168377440
     626756.9403128931
     604933.7075816159
     505316.1095281298
     460270.7763540878
     534418.6938428283
     683181.3601426769
     840186.0362507103
     608502.9348011403
     678298.2503903356
     950225.5275520259
     943661.5110992824
     885825.7135809980
     740779.3406673294
     766860.2164173055
     620958.5143100251
    1352192.5875384130
     654948.2245657587
     713972.1588732109
     896966.8908811645
     785035.8323503528
     615022.4445018559
    1001682.5690370060
     608509.2277190185
     571798.8894016941
     926666.8244079952
     557253.6107857594
     599243.5229114733
     705175.9512671632
     601716.1427230263
     783774.9839869890
    1061029.7700494610
     809742.7942198939
     621151.6590419312
     973821.9892521612
     640599.1247582638
     879268.3888195882
     521369.1957721121
     584835.0261288346
     672054.9993426161
     761646.3181355988
     588069.3973999341
     731162.7001110350
    1079017.2204012920
     711342.0954694483
     520532.5611034867
    1021399.2292397270
     764416.1482826067
     943047.6171396606
     920383.4366825693
     618532.8698605630
     692811.7749068611
     956624.4520036379
     804408.7464339096
     681191.6340766919
     482304.9016776946
     588028.7403764864
     880320.1598663454
     905662.0211818107
    1005469.6075743110
     630043.4243641236
     553905.6113328738
     705292.7196220248
     670700.4322826690
     528410.3049842519
     611219.6235679858
     522875.6456570524
     792040.3881799756
    1049962.3814345820
     488640.0488236190
     603590.4075420029
     642132.1540673082
     689932.8539851633
     638210.7087192779
     623619.8005261167
     714220.5823797731
     772553.9562256540
     399119.9176679128
     796173.5137920878
     488333.7772304344
     741777.8712071589
     746623.3220087844
    1562301.4742704360
     836400.2578268964
     655000.4419217832
     822611.0331975981
     570874.0586896194
     645131.6660421902
     704479.5476951681
     636466.6687975491
     489332.4258205301
     517355.3810607043
     449063.6819296537
     829542.0188634575
     664956.3893776026
     771947.5037178824
     630875.6975745793
     946953.0663139862
     618284.5225312222
     917771.7203768207
     583425.9497055395
     620367.9244548092
     617181.4418382370
     510250.7857555340
     566468.5913221363
     746976.5405530182
     477158.8949052553
     860724.2475947844
     601943.5825707520
     643766.8829574707
     531596.1162304381
    1101390.9160225370
     924389.0572378007
     911226.2036950220
     879730.0149505992
    1058614.9090527060
     707574.7512049279
    1070455.4167608750
    1344215.3668596360
     852299.4822153203
     568372.0520802217
     709079.6357337745
     874365.0713279245
     971623.7919433037
     745362.9057393427
     973327.2481275728
     831389.5016920916
     647791.9518061387
    1262974.3419082660
     822337.7382789298
     561771.3377189082
     775886.6631773007
     559166.1281720415
     552054.2100119352
     669879.8975314950
     608865.2121658279
     895017.7220874433
     928586.3205376914
     700112.3937686633
     741718.3228879466
     791835.9196026662
    1073052.4900724280
     740224.1980851938
     783468.2193726037
     916532.6695101257
     712608.3299921759
     470337.6818452093
     863940.6003388674
     493051.6170815609
     567450.1934568662
     520090.0794072078
     725297.8713613208
     759389.2250444023
     561806.0588388005
     807373.0941550911
     634072.9491926914
     727951.9164799220
     789114.1068709795
    1099750.1786034820
     833603.2069994046
     838553.8774533396
     760107.2789910139
     607585.5849741314
     979224.1033344606
     759586.2283685003
     842138.8095996933
     705932.2288658931
    1032641.0975623430
     470145.0897306591
     696082.3955719996
     648934.2937430731
     873273.8675896110
     808601.1297297906
    1662196.4832294030
     506075.8385952367
     546019.8646141612
     773792.2376138545
     684980.0520530889
     466699.5729930104
    1040970.0593938070
     461991.1585767017
     556342.5077364723
     579868.0242806727
     705020.5387195073
     725598.9614878395
    1005665.1286597200
    1476107.4089119640
     663450.9585763901
     859590.4582485564
     753855.9723587544
     555749.3663675521
    1007675.2965466440
     961889.5946802707
     780268.2630922447
     856087.4511489647
     541104.7114456323
     573563.7279362934
     948314.7183901718
     539991.6735165410
     841304.7354244110
     611732.7104190732
     671416.8011039357
     697108.7623009117
     861694.1264741961
    1080439.7320118780
     800091.3917628034
     697139.9609443847
     652970.7023926767
     790173.2085191568
     743564.2949527402
    1050969.7355561490
     715829.4304537874
     592797.9305846284
     808281.5343054653
     710410.4010317274
     724255.4018900455
     489261.1198025384
     774002.5042738379
     921857.1629860266
     634652.6474276873
     594294.0115438900
    1177908.0599420170
     500729.5492386491
     780367.0796769986
     817059.4794391049
     896412.4578701542
     916564.0764299665
     686525.1438985168
    1407669.8584531290
     676080.5343303937
     576574.3697946317
     716744.8531134817
     586266.9216433703
     553340.1015014951
     923006.8405430402
     572397.2684156132
     879651.7891139123
     973862.1256951168
     608581.4518384438
     893399.5222050221
     901490.7725199723
     942169.8202984730
     629530.7475019260
    1237287.0792907620
     584450.5064853972
     902283.1766709278
     765915.5231420803
    1207926.7896612180
     622116.6638816600
     512826.5026723183
     788060.6670567467
     720252.4206567671
     699843.0210449336
     630556.3420677573
     651516.8361178207
     602173.0989021090
     821867.0543562830
     786975.3390479214
     589235.4984800294
     501860.6465936881
     957639.2158747020
     892283.0981275358
     633974.1324928749
     588126.5307087699
    1240661.6544952450
     615931.7717261767
     592277.5954444051
     488006.0821573915
     881232.3282324210
     548739.4647423127
     625285.6210480810
     843376.5041866095
     792680.3593779104
     686691.6206633379
     723853.0540750378
     829918.4967280456
     728338.9023137726
     782390.0826157277
     926056.8511300528
     579140.8916616584
     685218.2154819053
     837630.7301273982
    1348110.5402994990
     889155.6848984722
     501012.4126867718
     759938.0308568274
     765764.6514427862
     714223.4416680866
     878754.3786974313
    1071155.0550857070
     861322.3543031918
     809516.3265362989
     672920.6482488784
     605019.8492993359
     428390.7666824010
     628253.2870380213
     747525.4375263286
    1315985.8514936250
    1141047.5719386340
    1280846.8642610510
     626280.9075004272
     723823.8952164181
     974844.5717901108
     745247.4567432568
     852187.2815370463
     707228.5588416630
     608738.9441270810
     582594.1294142184
     611077.7227541574
     635271.7190987823
     632499.2090855932
     623547.3182693665
     914908.8879043671
     471853.7174990236
    1028238.2997179840
     648522.2900332868
     916736.0767909745
     661080.1425362720
     640923.8120261692
     672653.6365423732
     631873.5680162137
     700460.7465176731
     479844.0739044267
    1118766.3534196800
     737566.7747710893
     491299.5713191475
     761631.9878732137
     657805.2102767292
     826044.8582417495
     639983.1383831216
    1054890.5908825790
     926264.4707977497
     827937.5149467052
     693601.8586194466
     631515.4647453354
     898211.5216583379
     723138.4804407622
     675469.3572571188
    1114780.3135583100
     732864.3536916156
     800465.3347185219
     661739.5427253696
     930073.7839209008
     689793.2172259413
     832628.4145382448
    1096197.4827440490
    1100407.7684255070
     706493.9038745181
     936327.2920724180
     804362.1821328425
     556826.0800701736
     665131.2576715471
    1006207.9738741470
    1021201.8598793720
    1143533.1401250300
     958125.0524863340
     660564.8044667497
     552401.9699465234
     451596.9192929000
     804947.1976951896
     585696.2007438287
     695074.6037026843
     645392.8419247880
     698979.5837577065
     763281.7233962677
     622521.5911052744
     561934.7057850980
     614357.6151030421
     676833.1810340694
     920829.1089182609
     664187.8170329736
     588696.8499160915
     561906.4598194589
     811100.1294770549
     508854.3484807903
     667912.2735323305
    1297377.7912588810
    1275834.4825494430
     693968.4771570426
     950090.9649203268
     692897.4678353836
     891861.8234593798
     998834.9419076453
     537529.6443712332
     586301.3787691580
     692184.0337060468
     449813.9955707921
     687866.2817085385
     707935.9569373234
     640684.4267056673
     860049.3691825430
     605872.7621773114
     443430.9795937251
     936432.7757640057
    1088526.6376029110
     599702.9563667220
     533207.3045783519
     555004.6051104289
     502917.7747556286
     922424.4359054440
     664824.6797716710
     605807.0396280182
     811788.9955776391
     694223.8691487528
     741520.5649306828
     940230.1497150061
     905649.6245109362
     656838.2379511754
     493674.3537188818
    1080107.2990991760
     659056.3043804466
     705043.3958847286
     767695.0421492466
     680575.1465691777
     677772.7601455854
     772912.1286902379
     724031.2003843194
     607451.1229717759
     673547.7441031387
     577946.7643773365
     755925.7355480726
     554668.5764331437
     766533.7431359645
     811991.7901190869
    1197324.2792667200
     587204.3576983000
     708081.3105598991
     748248.6817947446
     629906.6264115422
     868600.9340439841
     698508.0296771877
     958809.0348313549
     609775.3198059402
     775816.6267587934
     837280.3500054034
    1288631.6663159370
     957959.5020458835
     936082.7256911086
     740903.4391280209
     657409.2026569813
     848488.2535236107
    1023803.4388861650
     769888.2898199816
     662953.9614865669
     861504.4258067430
     577500.2555065228
    1320529.5914010050
     631025.0450216937
     648372.5903847806
     821974.3891147818
     654072.6703196890
     690915.0528202698
    1065109.2138196970
     602431.6042760850
     710541.8678995794
     950168.9327387698
     736631.4816383568
     620151.1482075161
     827288.3143718741
     608509.7482630552
     588911.3766312359
     952715.7608628859
     635751.4536768204
     787592.2504820214
     678517.7567322208
     683178.8148416632
     657309.6966888399
     802951.8323459399
     653918.7354205758
     495833.3872050586
     608393.7274370855
     685401.4447996256
     661705.9550015283
     710853.5064664227
     546419.5127111257
     565866.0980990680
     796644.1083310068
     627620.9060073257
     863721.6338923698
    1348334.5116171190
     929174.5223584583
     496838.9552149974
     658563.1915218864
    1145266.8535923240
     524368.1280789147
     693085.5318268798
     728015.9460048531
     886073.5544055972
     932849.3476884988
     910485.9871091913
     717865.4170763048
    1052006.1781584310
     570341.0625376672
     604335.5255004059
     595614.4401654950
     827220.1234619566
     855641.4742741558
    1109106.9377828070
     768141.9950926811
     993438.1185679829
    1396025.7945808140
     581753.2361946362
     561442.2489654574
     574971.2779924260
     592974.0168556054
     698488.3015189919
     687280.9563319833
     744895.6470025730
     912782.9814568326
     578405.7404572266
     562366.6802811296
     572493.9067913857
     596883.4281507410
     592764.6642373188
     802398.1869898037
    1265283.8808931930
     632650.5976599002
     577993.0931331271
     885629.4403398887
     650016.2348907470
     650962.7496927972
     813829.9211159374
     679079.5663061277
     532218.2794525329
    1258332.3875027730
     684608.9799383518
    1126193.1496479990
     527785.4455157019
     596588.7451015619
     541868.3202031141
     598065.8791697831
     612754.4101033562
    1042830.1752734860
     940229.4614768747
     750778.7061571818
     769349.1826720032
     587134.1767713516
     752674.6801640809
    1501709.9775097210
     678350.7518888434
     789962.1350223109
     563836.3032220805
     720348.6375165586
     879751.6843375954
     785530.4969405646
     797520.6973957121
     955745.3942942607
     569758.9205691798
     640150.5105961822
     782038.3162875229
     648630.8207987300
     921169.3277832042
     677758.4509286395
    1161663.9632079750
    1510656.5993617150
     616587.1839299577
     914078.9464435832
     688658.6439841219
     945679.9741741489
     778841.2225812395
     970657.1978462134
     709050.2892767935
     702656.9927329036
     688323.7794607086
     740673.1308677270
     889389.9609244778
     904954.6731310641
     604770.9816352779
     692295.3908889167
     529514.8733534076
    1271558.8559682620
     646351.8317799149
     682732.2834375249
     666962.1135791442
     500753.6271466140
     747361.2276979192
     564512.8575430769
     944785.9342312536
     834189.2171305188
     535167.7623993751
     851427.3291858672
     638915.9576309946
     729009.6633771923
     555653.4339531168
     638293.3644266834
     388359.2063986164
     847320.9716324536
     671431.1770356549
     793592.1957290103
     987496.3879064773
     751364.9382648792
     668569.3767997776
     627583.7729082466
     692929.9689693276
     899987.9398314570
     859968.2148730001
    1094741.2214789130
     739222.6408116695
     598810.4375970364
    1088595.8745984560
     584147.4269048148
     550581.0890751545
     591683.8930249438
     549137.6538696146
    1062939.0766419640
    1050839.7407638260
     902447.3627629995
     615938.0807900119
    1865337.5441735010
     553446.6413501953
     591727.7819923501
     794215.5045683933
     862102.9465757514
     532029.0292999784
     571272.3950812287
     738164.5908089918
     578645.8899507056
     800036.4334174907
     950888.2001301543
     694555.0565256394
     891132.9430322764
     650392.7472450483
     531707.4606154712
     595525.2608993279
     721036.0016793350
     691888.8026626415
     829580.8986471529
     773843.7264149821
     893761.5725666474
     728870.1283144880
     882760.5274524459
     718202.0681078429
     674740.1877339730
     896020.3100692947
     710251.8236806542
     547440.4078723681
     602844.2716657840
    1193061.7914919660
     479671.8631081891
     828426.5849332637
     575170.7648294314
     914398.1017986450
     948892.8119005640
     827662.1252134407
     705818.9560156025
    1723807.7300229910
     645641.9621808319
     752396.0127451611
     629031.9933839929
     909509.5529547896
     578173.6785646017
     573688.4903305583
     731152.0065202733
     521315.2395334965
     648104.9403166452
     813152.6979494059
     909179.9228241614
     472074.8068899716
     708384.0037239139
     928206.6980656508
     749137.6118576141
     668010.8822613532
     603618.8568899129
    1057424.6163195370
     692382.1951842359
     658365.8315989237
     673972.1911126393
    1452176.7268923290
     762512.4796548360
     595177.3661648942
     683468.2951665168
     872214.9908275189
     625675.2277586273
     856696.3145483970
     766935.9956901106
    1005859.1975290990
     831040.1777272091
     670873.1445156430
     683492.8991137741
     806973.1786986589
     572277.1305440929
     706728.1699543328
     754435.9430047248
     761403.9980253612
     801605.0790083102
     718270.9823594183
     868541.4123517739
     720471.1556537304
     938618.7824956270
     575675.7817762783
     831645.8178212751
     643869.4742268729
     985094.0889573965
     958908.9764484039
     706375.0556457588
     663310.3044946498
     568144.2937828216
     700150.6928137011
     896395.8060428933
     771403.6596768583
     592453.4279382975
     925831.5327397999
     547290.8832026176
     619291.7663672278
     596339.7560623448
     530022.3657415815
     588141.9965765624
    1009901.7182087920
     742945.6132612884
     617471.7686790235
     717855.6485750190
     706440.8210032790
     901135.2129541873
     764799.3385978327
     625259.8461693742
     530843.3139957339
    1211357.8068996430
     889212.4533432566
     797493.4593702522
     617851.4981151925
     715815.1089427091
     768132.6877081293
     543963.2675262340
     640991.7338560687
     998573.7597588572
     682172.3243799447
     803860.1064626407
     516981.9789661000
     677411.1681178423
     707753.0608243658
     543662.5998916064
     728958.0631019255
    1316247.5675289470
     528222.0449789902
     629953.8645126323
     830832.7301282947
     581571.1468463540
     989101.5152468652
    1612966.5704261430
     700708.9974202046
     820661.9818831503
     856089.3404756379
     820705.1523051142
     816808.9887179588
     702396.8792275577
     773632.6999647978
    1023244.3963326410
     768124.7622430258
     621719.7197952924
     680364.1741430514
     823236.2920612325
     812155.8905304053
     733521.8133741977
     629737.8245706703
     522756.4798669174
     832301.0060363314
     653007.1702260303
     677907.7390133336
     687853.3433163381
     730632.9052995938
     691946.4643656062
     686177.5052613985
     762217.4258728225
     484510.6980776726
     615058.3891573199
     806965.4765978206
     611971.2113730033
     894255.8015837930
     778512.6100385041
     886332.3818898543
     545989.9080983077
     551542.1166430310
     852031.0362942503
     849499.1036341232
     666325.1690629843
     546087.9986901095
     542701.9268323794
     931972.4579100077
     724418.4511202402
     821814.4789554132
     509503.0949870811
     552495.4324498564
     625195.3792429437
     552660.8604586680
    1291981.3346073130
     914523.1265191115
     766653.8758275192
     587284.5893168452
     893049.4721321248
    1029462.2299509670
     675607.9118682843
     729556.6810966107
    1110151.9199784790
     698976.5175429313
     550179.6833626734
     518423.5473699272
     533315.5869114228
     521284.6109772407
     677883.5533704120
     603481.5481816275
     901502.6236096174
    1032354.9775725630
     700779.8634242541
     658563.0266471868
     475531.6868567847
     931287.4221238527
     683084.4741012901
     522139.3195902120
     814968.1728810961
     792128.1152301133
     896047.7311847382
     777433.1412289386
     686374.8389314672
     682172.7204388620
    1026158.5372268830
     525692.1186892460
     801158.1446919765
     906292.2961137511
     596885.9100167467
     616748.1211893153
     769829.0080500701
     633212.3791756518
     943686.4862540247
     584820.4457075049
     644589.1055595402
     672893.3855822752
     732177.4635228048
     611976.6901880232
     757423.0565602770
     629160.6964537152
    1000376.3559102200
     851019.0845126465
     848078.2412643428
     921810.3772142121
     613993.8552140447
     719365.8872357423
    1101797.9352245290
     886416.8389056472
     850593.8021272536
     755688.5927981432
     598255.6178615806
     856037.9643585546
     634897.3491807976
     952124.7670752127
     602332.3915173513
     936623.9580616425
     555931.6861676336
     998900.4606209064
    1012609.2343413740
